 L  L'   F   D  Om  Lm  Lv  Le  LM  Lj  Ls  Lu  Ln  Pa    PS       PC        ES       EC
 0   0   0   0   0   0   0   8 -16   4   5   0   0   0   0.1440   0.0000    0.0000   0.0000
 0   0   0   0   0   0   0  -8  16  -4  -5   0   0   2   0.0056  -0.0117   -0.0042  -0.0040
 0   0   0   0   0   0   0   8 -16   4   5   0   0   2   0.0125  -0.0043    0.0000  -0.0054
 0   0   0   0   0   0   0   0   0   0   0  -1   2   2   0.0000   0.0005    0.0000   0.0000
 0   0   0   0   0   0   0  -4   8  -1  -5   0   0   2   0.0003  -0.0007   -0.0003   0.0000
 0   0   0   0   0   0   0   4  -8   3   0   0   0   1   0.0003   0.0000    0.0000  -0.0002
 0   0   1  -1   1   0   0   3  -8   3   0   0   0   0  -0.0114   0.0000    0.0000   0.0061
-1   0   0   0   0   0  10  -3   0   0   0   0   0   0  -0.0219   0.0089    0.0000   0.0000
 0   0   0   0   0   0   0   0   0  -2   6  -3   0   2  -0.0003   0.0000    0.0000   0.0000
 0   0   0   0   0   0   0   4  -8   3   0   0   0   0  -0.0462   0.1604    0.0000   0.0000
 0   0   1  -1   1   0   0  -5   8  -3   0   0   0   0   0.0099   0.0000    0.0000  -0.0053
 0   0   0   0   0   0   0  -4   8  -3   0   0   0   1  -0.0003   0.0000    0.0000   0.0002
 0   0   0   0   0   0   0   4  -8   1   5   0   0   2   0.0000   0.0006    0.0002   0.0000
 0   0   0   0   0   0  -5   6   4   0   0   0   0   2   0.0003   0.0000    0.0000   0.0000
 0   0   0   0   0   0   0   0   0   2  -5   0   0   2  -0.0012   0.0000    0.0000   0.0000
 0   0   0   0   0   0   0   0   0   2  -5   0   0   1   0.0014  -0.0218    0.0117   0.0008
 0   0   1  -1   1   0   0  -1   0   2  -5   0   0   0   0.0031  -0.0481   -0.0257  -0.0017
 0   0   0   0   0   0   0   0   0   2  -5   0   0   0  -0.0491   0.0128    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0  -2   5   0   0   0  -0.3084   0.5123    0.2735   0.1647
 0   0   0   0   0   0   0   0   0  -2   5   0   0   1  -0.1444   0.2409   -0.1286  -0.0771
 0   0   0   0   0   0   0   0   0  -2   5   0   0   2   0.0011  -0.0024   -0.0011  -0.0009
 2   0  -1  -1   0   0   0   3  -7   0   0   0   0   0   0.0026  -0.0009    0.0000   0.0000
 1   0   0  -2   0   0  19 -21   3   0   0   0   0   0   0.0103  -0.0060    0.0000   0.0000
 0   0   1  -1   1   0   2  -4   0  -3   0   0   0   0   0.0000  -0.0013   -0.0007   0.0000
 1   0   0  -1   1   0   0  -1   0   2   0   0   0   0  -0.0026  -0.0029   -0.0016   0.0014
 0   0   1  -1   1   0   0  -1   0  -4  10   0   0   0   0.0009  -0.0027   -0.0014  -0.0005
-2   0   0   2   1   0   0   2   0   0  -5   0   0   0   0.0012   0.0000    0.0000  -0.0006
 0   0   0   0   0   0   3  -7   4   0   0   0   0   0  -0.0007   0.0000    0.0000   0.0000
 0   0  -1   1   0   0   0   1   0   1  -1   0   0   0   0.0000   0.0024    0.0000   0.0000
-2   0   0   2   1   0   0   2   0  -2   0   0   0   0   0.0284   0.0000    0.0000  -0.0151
-1   0   0   0   0   0  18 -16   0   0   0   0   0   0   0.0226   0.0101    0.0000   0.0000
-2   0   1   1   2   0   0   1   0  -2   0   0   0   0   0.0000  -0.0008   -0.0002   0.0000
-1   0   1  -1   1   0  18 -17   0   0   0   0   0   0   0.0000  -0.0006   -0.0003   0.0000
-1   0   0   1   1   0   0   2  -2   0   0   0   0   0   0.0005   0.0000    0.0000  -0.0003
 0   0   0   0   0   0  -8  13   0   0   0   0   0   2  -0.0041   0.0175    0.0076   0.0017
 0   0   2  -2   2   0  -8  11   0   0   0   0   0   0   0.0000   0.0015    0.0006   0.0000
 0   0   0   0   0   0  -8  13   0   0   0   0   0   1   0.0425   0.0212   -0.0133   0.0269
 0   0   1  -1   1   0  -8  12   0   0   0   0   0   0   0.1200   0.0598    0.0319  -0.0641
 0   0   0   0   0   0   8 -13   0   0   0   0   0   0   0.0235   0.0334    0.0000   0.0000
 0   0   1  -1   1   0   8 -14   0   0   0   0   0   0   0.0011  -0.0012   -0.0007  -0.0006
 0   0   0   0   0   0   8 -13   0   0   0   0   0   1   0.0005  -0.0006    0.0003   0.0003
-2   0   0   2   1   0   0   2   0  -4   5   0   0   0  -0.0005   0.0000    0.0000   0.0003
-2   0   0   2   2   0   3  -3   0   0   0   0   0   0   0.0006   0.0000    0.0000  -0.0003
-2   0   0   2   0   0   0   2   0  -3   1   0   0   0   0.0015   0.0000    0.0000   0.0000
 0   0   0   0   1   0   3  -5   0   2   0   0   0   0   0.0013   0.0000    0.0000  -0.0007
-2   0   0   2   0   0   0   2   0  -4   3   0   0   0  -0.0006  -0.0009    0.0000   0.0000
 0   0  -1   1   0   0   0   0   2   0   0   0   0   0   0.0266  -0.0078    0.0000   0.0000
 0   0   0   0   1   0   0  -1   2   0   0   0   0   0  -0.0460  -0.0435   -0.0232   0.0246
 0   0   1  -1   2   0   0  -2   2   0   0   0   0   0   0.0000   0.0015    0.0007   0.0000
-1   0   1   0   1   0   3  -5   0   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0002
-1   0   0   1   0   0   3  -4   0   0   0   0   0   0   0.0000   0.0131    0.0000   0.0000
-2   0   0   2   0   0   0   2   0  -2  -2   0   0   0   0.0004   0.0000    0.0000   0.0000
-2   0   2   0   2   0   0  -5   9   0   0   0   0   0   0.0000   0.0003    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0   0   0  -1   0   0   0.0000   0.0004    0.0002   0.0000
 0   0   0   0   0   0   0   0   0   0   0   1   0   0   0.0000   0.0003    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0   0   0   0   2   0  -0.0017  -0.0019   -0.0010   0.0009
 0   0   0   0   0   0   0   0   0   0   0   0   2   1  -0.0009  -0.0011    0.0006  -0.0005
 0   0   0   0   0   0   0   0   0   0   0   0   2   2  -0.0006   0.0000    0.0000   0.0003
-1   0   0   1   0   0   0   3  -4   0   0   0   0   0  -0.0016   0.0008    0.0000   0.0000
 0   0  -1   1   0   0   0   1   0   0   2   0   0   0   0.0000   0.0003    0.0000   0.0000
 0   0   1  -1   2   0   0  -1   0   0   2   0   0   0   0.0011   0.0024    0.0011  -0.0005
 0   0   0   0   1   0   0  -9  17   0   0   0   0   0  -0.0003  -0.0004   -0.0002   0.0001
 0   0   0   0   2   0  -3   5   0   0   0   0   0   0   0.0003   0.0000    0.0000  -0.0001
 0   0   1  -1   1   0   0  -1   0  -1   2   0   0   0   0.0000  -0.0008   -0.0004   0.0000
 0   0   0   0   0   0   0   0   0   1  -2   0   0   0   0.0000   0.0003    0.0000   0.0000
 1   0   0  -2   0   0  17 -16   0  -2   0   0   0   0   0.0000   0.0005    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0   1  -3   0   0   0   0.0000   0.0003    0.0002   0.0000
-2   0   0   2   1   0   0   5  -6   0   0   0   0   0  -0.0006   0.0004    0.0002   0.0003
 0   0  -2   2   0   0   0   9 -13   0   0   0   0   0  -0.0003  -0.0005    0.0000   0.0000
 0   0   1  -1   2   0   0  -1   0   0   1   0   0   0  -0.0005   0.0000    0.0000   0.0002
 0   0   0   0   1   0   0   0   0   0   1   0   0   0   0.0004   0.0024    0.0013  -0.0002
 0   0  -1   1   0   0   0   1   0   0   1   0   0   0  -0.0042   0.0020    0.0000   0.0000
 0   0  -2   2   0   0   5  -6   0   0   0   0   0   0  -0.0010   0.0233    0.0000   0.0000
 0   0  -1   1   1   0   5  -7   0   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0001
-2   0   0   2   0   0   6  -8   0   0   0   0   0   0   0.0078  -0.0018    0.0000   0.0000
 2   0   1  -3   1   0  -6   7   0   0   0   0   0   0   0.0000   0.0003    0.0001   0.0000
 0   0   0   0   2   0   0   0   0   1   0   0   0   0   0.0000  -0.0003   -0.0001   0.0000
 0   0  -1   1   1   0   0   1   0   1   0   0   0   0   0.0000  -0.0004   -0.0002   0.0001
 0   0   1  -1   1   0   0  -1   0   0   0   2   0   0   0.0000  -0.0008   -0.0004  -0.0001
 0   0   0   0   0   0   0   0   0   0   0   2   0   1   0.0000  -0.0005    0.0003   0.0000
 0   0   0   0   0   0   0   0   0   0   0   2   0   2  -0.0007   0.0000    0.0000   0.0003
 0   0   0   0   0   0   0  -8  15   0   0   0   0   2  -0.0014   0.0008    0.0003   0.0006
 0   0   0   0   0   0   0  -8  15   0   0   0   0   1   0.0000   0.0008   -0.0004   0.0000
 0   0   1  -1   1   0   0  -9  15   0   0   0   0   0   0.0000   0.0019    0.0010   0.0000
 0   0   0   0   0   0   0   8 -15   0   0   0   0   0   0.0045  -0.0022    0.0000   0.0000
 1   0  -1  -1   0   0   0   8 -15   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0000
 2   0   0  -2   0   0   2  -5   0   0   0   0   0   0   0.0000  -0.0003    0.0000   0.0000
-2   0   0   2   0   0   0   2   0  -5   5   0   0   0   0.0000   0.0003    0.0000   0.0000
 2   0   0  -2   1   0   0  -6   8   0   0   0   0   0   0.0003   0.0005    0.0003  -0.0002
 2   0   0  -2   1   0   0  -2   0   3   0   0   0   0   0.0089  -0.0016   -0.0009  -0.0048
-2   0   1   1   0   0   0   1   0  -3   0   0   0   0   0.0000   0.0003    0.0000   0.0000
-2   0   1   1   1   0   0   1   0  -3   0   0   0   0  -0.0003   0.0007    0.0004   0.0002
-2   0   0   2   0   0   0   2   0  -3   0   0   0   0  -0.0349  -0.0062    0.0000   0.0000
-2   0   0   2   0   0   0   6  -8   0   0   0   0   0  -0.0015   0.0022    0.0000   0.0000
-2   0   0   2   0   0   0   2   0  -1  -5   0   0   0  -0.0003   0.0000    0.0000   0.0000
-1   0   0   1   0   0   0   1   0  -1   0   0   0   0  -0.0053   0.0000    0.0000   0.0000
-1   0   1   1   1   0 -20  20   0   0   0   0   0   0   0.0005   0.0000    0.0000  -0.0003
 1   0   0  -2   0   0  20 -21   0   0   0   0   0   0   0.0000  -0.0008    0.0000   0.0000
 0   0   0   0   1   0   0   8 -15   0   0   0   0   0   0.0015  -0.0007   -0.0004  -0.0008
 0   0   2  -2   1   0   0 -10  15   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0001
 0   0  -1   1   0   0   0   1   0   1   0   0   0   0  -0.0021  -0.0078    0.0000   0.0000
 0   0   0   0   1   0   0   0   0   1   0   0   0   0   0.0020  -0.0070   -0.0037  -0.0011
 0   0   1  -1   2   0   0  -1   0   1   0   0   0   0   0.0000   0.0006    0.0003   0.0000
 0   0   1  -1   1   0   0  -1   0  -2   4   0   0   0   0.0005   0.0003    0.0002  -0.0002
 2   0   0  -2   1   0  -6   8   0   0   0   0   0   0  -0.0017  -0.0004   -0.0002   0.0009
 0   0  -2   2   1   0   5  -6   0   0   0   0   0   0   0.0000   0.0006    0.0003   0.0000
 0   0   0   0   0   0   0   0   0   0  -1   0   0   1   0.0032   0.0015   -0.0008   0.0017
 0   0   1  -1   1   0   0  -1   0   0  -1   0   0   0   0.0174   0.0084    0.0045  -0.0093
 0   0   0   0   0   0   0   0   0   0   1   0   0   0   0.0011   0.0056    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0   0   1   0   0   0  -0.0066  -0.0012   -0.0006   0.0035
 0   0   0   0   0   0   0   0   0   0   1   0   0   1   0.0047   0.0008    0.0004  -0.0025
 0   0   0   0   0   0   0   0   0   0   1   0   0   2   0.0000   0.0008    0.0004   0.0000
 0   0   2  -2   1   0   0  -9  13   0   0   0   0   0   0.0010  -0.0022   -0.0012  -0.0005
 0   0   0   0   1   0   0   7 -13   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0002
-2   0   0   2   0   0   0   5  -6   0   0   0   0   0  -0.0024   0.0012    0.0000   0.0000
 0   0   0   0   0   0   0   9 -17   0   0   0   0   0   0.0005  -0.0006    0.0000   0.0000
 0   0   0   0   0   0   0  -9  17   0   0   0   0   2   0.0003   0.0000    0.0000  -0.0002
 1   0   0  -1   1   0   0  -3   4   0   0   0   0   0   0.0004   0.0003    0.0001  -0.0002
 1   0   0  -1   1   0  -3   4   0   0   0   0   0   0   0.0000   0.0029    0.0015   0.0000
 0   0   0   0   2   0   0  -1   2   0   0   0   0   0  -0.0005  -0.0004   -0.0002   0.0002
 0   0  -1   1   1   0   0   0   2   0   0   0   0   0   0.0008  -0.0003   -0.0001  -0.0005
 0   0  -2   2   0   1   0  -2   0   0   0   0   0   0   0.0000  -0.0003    0.0000   0.0000
 0   0   0   0   0   0   3  -5   0   2   0   0   0   0   0.0010   0.0000    0.0000   0.0000
-2   0   0   2   1   0   0   2   0  -3   1   0   0   0   0.0003   0.0000    0.0000  -0.0002
-2   0   0   2   1   0   3  -3   0   0   0   0   0   0  -0.0005   0.0000    0.0000   0.0003
 0   0   0   0   1   0   8 -13   0   0   0   0   0   0   0.0046   0.0066    0.0035  -0.0025
 0   0  -1   1   0   0   8 -12   0   0   0   0   0   0  -0.0014   0.0007    0.0000   0.0000
 0   0   2  -2   1   0  -8  11   0   0   0   0   0   0   0.0000   0.0003    0.0002   0.0000
-1   0   0   1   0   0   0   2  -2   0   0   0   0   0  -0.0005   0.0000    0.0000   0.0000
-1   0   0   0   1   0  18 -16   0   0   0   0   0   0  -0.0068  -0.0034   -0.0018   0.0036
 0   0   1  -1   1   0   0  -1   0  -1   1   0   0   0   0.0000   0.0014    0.0007   0.0000
 0   0   0   0   1   0   3  -7   4   0   0   0   0   0   0.0010  -0.0006   -0.0003  -0.0005
-2   0   1   1   1   0   0  -3   7   0   0   0   0   0  -0.0005  -0.0004   -0.0002   0.0003
 0   0   1  -1   2   0   0  -1   0  -2   5   0   0   0  -0.0003   0.0005    0.0002   0.0001
 0   0   0   0   1   0   0   0   0  -2   5   0   0   0   0.0076   0.0017    0.0009  -0.0041
 0   0   0   0   1   0   0  -4   8  -3   0   0   0   0   0.0084   0.0298    0.0159  -0.0045
 1   0   0   0   1   0 -10   3   0   0   0   0   0   0   0.0003   0.0000    0.0000  -0.0001
 0   0   2  -2   1   0   0  -2   0   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0002
-1   0   0   0   1   0  10  -3   0   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0001
 0   0   0   0   1   0   0   4  -8   3   0   0   0   0  -0.0082   0.0292    0.0156   0.0044
 0   0   0   0   1   0   0   0   0   2  -5   0   0   0  -0.0073   0.0017    0.0009   0.0039
 0   0  -1   1   0   0   0   1   0   2  -5   0   0   0  -0.0009  -0.0016    0.0000   0.0000
 2   0  -1  -1   1   0   0   3  -7   0   0   0   0   0   0.0003   0.0000   -0.0001  -0.0002
